,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,ANGRA,Hunters and Prey,Live and Learn,5LZci9wxIwwvF9qh8cMpHS,0.431,0.984,1,-5.131,1,0.0907,0.00591,2.67e-06,0.065,0.167,144.996,audio_features,5LZci9wxIwwvF9qh8cMpHS,spotify:track:5LZci9wxIwwvF9qh8cMpHS,https://api.spotify.com/v1/tracks/5LZci9wxIwwvF9qh8cMpHS,https://api.spotify.com/v1/audio-analysis/5LZci9wxIwwvF9qh8cMpHS,254293,4
1,ANGRA,Hunters and Prey,Bleeding Heart,4m2HvlrZ1kKsgFpcLh5h0V,0.5,0.545,10,-7.115,1,0.0277,0.165,0,0.367,0.118,123.974,audio_features,4m2HvlrZ1kKsgFpcLh5h0V,spotify:track:4m2HvlrZ1kKsgFpcLh5h0V,https://api.spotify.com/v1/tracks/4m2HvlrZ1kKsgFpcLh5h0V,https://api.spotify.com/v1/audio-analysis/4m2HvlrZ1kKsgFpcLh5h0V,246053,4
2,ANGRA,Hunters and Prey,Hunters and Prey,3Gs5F9IN5BEhU8jhdr5KrQ,0.56,0.892,2,-6.74,1,0.0366,0.00286,0.00203,0.102,0.679,114.986,audio_features,3Gs5F9IN5BEhU8jhdr5KrQ,spotify:track:3Gs5F9IN5BEhU8jhdr5KrQ,https://api.spotify.com/v1/tracks/3Gs5F9IN5BEhU8jhdr5KrQ,https://api.spotify.com/v1/audio-analysis/3Gs5F9IN5BEhU8jhdr5KrQ,391280,4
3,ANGRA,Hunters and Prey,Eyes of Christ,2ahYaznOR2pfAu6voMj3T7,0.512,0.937,8,-5.403,1,0.0467,0.0622,2.81e-06,0.0792,0.469,105.021,audio_features,2ahYaznOR2pfAu6voMj3T7,spotify:track:2ahYaznOR2pfAu6voMj3T7,https://api.spotify.com/v1/tracks/2ahYaznOR2pfAu6voMj3T7,https://api.spotify.com/v1/audio-analysis/2ahYaznOR2pfAu6voMj3T7,257973,4
4,ANGRA,Hunters and Prey,Rebirth (Acoustic Version),3tQWuqbfcQumQL3KHfOM3C,0.348,0.596,9,-7.498,0,0.0291,0.501,0,0.111,0.343,74.179,audio_features,3tQWuqbfcQumQL3KHfOM3C,spotify:track:3tQWuqbfcQumQL3KHfOM3C,https://api.spotify.com/v1/tracks/3tQWuqbfcQumQL3KHfOM3C,https://api.spotify.com/v1/audio-analysis/3tQWuqbfcQumQL3KHfOM3C,217533,4
5,ANGRA,Hunters and Prey,Heroes of Sand (Acoustic Version),1mzAPJgeC1OeuB11bcfGuZ,0.379,0.702,4,-6.815,0,0.0397,0.0819,0,0.0464,0.336,160.049,audio_features,1mzAPJgeC1OeuB11bcfGuZ,spotify:track:1mzAPJgeC1OeuB11bcfGuZ,https://api.spotify.com/v1/tracks/1mzAPJgeC1OeuB11bcfGuZ,https://api.spotify.com/v1/audio-analysis/1mzAPJgeC1OeuB11bcfGuZ,232307,3
6,ANGRA,Hunters and Prey,Mama,2Nu473tMWCxqVvIit230u7,0.54,0.861,4,-7.479,0,0.0493,0.0538,0.0096,0.114,0.467,83.003,audio_features,2Nu473tMWCxqVvIit230u7,spotify:track:2Nu473tMWCxqVvIit230u7,https://api.spotify.com/v1/tracks/2Nu473tMWCxqVvIit230u7,https://api.spotify.com/v1/audio-analysis/2Nu473tMWCxqVvIit230u7,321973,4
7,ANGRA,Hunters and Prey,Caça E Caçador,4b8AgvS5dYLNaxWSOFCxD2,0.566,0.793,2,-7.544,1,0.0405,0.046,0.00026,0.39,0.556,114.99,audio_features,4b8AgvS5dYLNaxWSOFCxD2,spotify:track:4b8AgvS5dYLNaxWSOFCxD2,https://api.spotify.com/v1/tracks/4b8AgvS5dYLNaxWSOFCxD2,https://api.spotify.com/v1/audio-analysis/4b8AgvS5dYLNaxWSOFCxD2,388227,4
8,Firehouse,Firehouse,Rock On the Radio,5O0GElfKOTJYHH1xsldWmp,0.534,0.787,1,-10.579,0,0.0429,0.000132,0.0025,0.366,0.319,83.896,audio_features,5O0GElfKOTJYHH1xsldWmp,spotify:track:5O0GElfKOTJYHH1xsldWmp,https://api.spotify.com/v1/tracks/5O0GElfKOTJYHH1xsldWmp,https://api.spotify.com/v1/audio-analysis/5O0GElfKOTJYHH1xsldWmp,285360,4
9,Firehouse,Firehouse,All She Wrote (Live),0oIbfeHdm2BmD1jWD29dQc,0.603,0.759,8,-10.393,1,0.0322,3.85e-05,0.0162,0.148,0.376,121.214,audio_features,0oIbfeHdm2BmD1jWD29dQc,spotify:track:0oIbfeHdm2BmD1jWD29dQc,https://api.spotify.com/v1/tracks/0oIbfeHdm2BmD1jWD29dQc,https://api.spotify.com/v1/audio-analysis/0oIbfeHdm2BmD1jWD29dQc,267427,4
