,artist,song
0, Mark Ronson featuring Bruno Mars ,Uptown Funk
1, Ed Sheeran ,Thinking Out Loud
2, Wiz Khalifa featuring Charlie Puth ,See You Again
3, Fetty Wap ,Trap Queen
4, Maroon 5 ,Sugar
5, Walk the Moon ,Shut Up and Dance
6, Taylor Swift ,Blank Space
7, Silentó ,Watch Me
8, The Weeknd ,Earned It
9, The Weeknd ,The Hills
10, OMI ,Cheerleader
11, The Weeknd ,Can't Feel My Face
12, Ellie Goulding ,Love Me Like You Do
13, Hozier ,Take Me to Church
14, Taylor Swift featuring Kendrick Lamar ,Bad Blood
15, Major Lazer and DJ Snake featuring MØ ,Lean On
16, Jason Derulo ,Want to Want Me
17, Taylor Swift ,Shake It Off
18, Skrillex and Diplo featuring Justin Bieber ,Where Are Ü Now
19, Rachel Platten ,Fight Song
20, Fetty Wap featuring Remy Boyz ,679
21, Meghan Trainor ,Lips Are Movin
22, Fifth Harmony featuring Kid Ink ,Worth It
23, Omarion featuring Chris Brown and Jhené Aiko ,Post to Be
24, Andy Grammer ,"Honey, I'm Good."
25, Sam Smith ,I'm Not the Only One
26, Selena Gomez featuring A$AP Rocky ,Good for You
27, Meghan Trainor ,All About That Bass
28, Taylor Swift ,Style
29, Drake ,Hotline Bling
30," David Guetta featuring Nicki Minaj, Bebe Rexha, and Afrojack ",Hey Mama
31, Flo Rida featuring Sage the Gemini and Lookas ,G.D.F.R.
32, Justin Bieber ,What Do You Mean?
33, Ed Sheeran ,Photograph
34, Adele ,Hello
35, Shawn Mendes ,Stitches
36, Tove Lo ,Talking Body
37, Nick Jonas ,Jealous
38, Pitbull and Ne-Yo ,Time of Our Lives
39, R. City featuring Adam Levine ,Locked Away
40, Natalie La Rose featuring Jeremih ,Somebody
41," Rihanna, Kanye West, and Paul McCartney ",FourFiveSeconds
42, Fall Out Boy ,Centuries
43, Fetty Wap featuring Monty ,My Way
44, Sam Hunt ,Take Your Time
45, Maroon 5 ,Animals
46, Big Sean featuring E-40 ,I Don't Fuck with You
47, Rihanna ,Bi**h Better Have My Money
48, Rich Homie Quan ,"Flex (Ooh, Ooh, Ooh)"
49, T-Wayne ,Nasty Freestyle
